Vintage,Winery,Label,Variety,Region,Country,Wine Type,Merit,Value,Best,%Alcohol,Qty,Qty/Case,Bottle Size,Price,User Notes 1,User Notes 2,Location,UserField3
2008,Dinastia Vivanco,Crianza,Tempranillo,Rioja,Spain,R,,,2018,,1,,750 mL,,WA: Balsam wood  tobacco  cinnamon  clove  violets  and black fruit aromas lead to a ripe  sweetly-fruited  nicely proportioned Crianza that is likely to blossom for another 1-2 years and drink well through 2020. Bodega Dinastia Vivanco is a must visit for wine tourists. The winery is designed to be accessible to visitors but the principal attraction is the finest wine museum I have ever seen. Called Museo de la Cultura del Vino  it is beautifully designed and filled to the brim with artifacts from all aspects of wine from farming to drinking. As for the wines  Dinastia Vivanco has been flying under the radar screen but with a new importer on board  it is highly likely that their wine will receive greater exposure., WS: Velvety and voluptuous  this generous red delivers plum  blackberry  chocolate and toast flavors  with broad  soft tannins and just enough acidity to stay lively. The finish is graceful.,,
2009,Michel-Schlumberger Estate,Coteaux Sauvages Estate Red,Syrah/petite sirah/merlot,Dry Creek Valley,United States,R,,,2017,,2,,750 mL,$60.00,A beautifully nuanced and classic bouquet of ripe and lush Rhone varietals including concentrated black cherries  cassis  dark cherry and plum. Boasting both focused intensity and pure elegance with blackberries  currants  plum  mocha and dark cherries with touches of licorice  floral notes  cracked white pepper and vanilla. Layers upon layers of complexity  and well balanced with supple tannins and a persistent finish. The wine sells for $60 in their tasting room. Enjoy 2013-2018 , ,Wine Rack 4,Row 5/bin 3
2010,Bogle Vineyards  Inc.,Essential Red,Zin  cab  sirah  petite sirah,California,United States,R,,,2016,,3,,750 mL,$13.99,,We had this as our "house" wine for Meg's wedding.  We also served this at the post-christening party for Mikey. ,Wine Rack 2,Row 2/bin 1
2011,Belle Glos,Dairyman Vineyard Pinot Noir,Pinot Noir,Sonoma-Russian River,United States,R,,,,,1,,750 mL,$46.25,We had this with grilled salmon and wild mushroom risotto on the deck for Mother's Day 2015.,  WS: Rich and dense  this offers a potent mix of berry pie flavors that are lively  complex and well-oaked. The aromas are abundant with bright cherry  cranberry and brown spice  reminiscent of warm cinnamon toast topped with plum jam. On the palate  the bright cherry opens the show  then evolves into a lush  sweetly spiced plum pudding  coating the mouth with a velvety richness. The wine then develops an intense mineral note  adding yet another dimension  lending way to silky tannins and a lengthy finish. Situated in the southern alluvial plains of the Russian River Valley  Dairyman Vineyard’s proximity to the Pacific Ocean results in a cool morning fog and afternoon coastal breezes that elongate the growing season. This gives us small  concentrated and flavorful berries  producing bright cherry characteristics  brown spices  and a keen minerality overlaid with a rich  velvety mouth feel. Once an old dairy farm  the pastureland was planted to Dijon clone Pinot Noir in 2000  preserving the deep agricultural history of the property.,Josh's Pinot Rack,
2010,La Tiare Imperiale,Chateauneuf du Pape,Grenache/Syrah/Morvedre,Chateauneuf-du-Pape,France,R,,,2025,,1,,750 mL,$68.00,"A generous and silky palate of sweet black cherry jam  kirsch  licorice  toasty vanilla oak and red currants  with hints of dark chocolate  blueberry  boysenberry and a spice box. Made in a smooth velvety style with round tannins.",only offered in outstanding years. The first Tiare Imperiale CDP since 2007.  Three bottles are a gift from Julie Blount at WTSO.,Rhone Rack,Row 4/bin 2
2011,La Mitre,Chateauneuf du Pape,GSM  Cinsault,Chateauneuf du Pape,France,R,,,2020,,6,,750 mL,$66.00,A dark ruby red hue with purple highlights. Nicely nuanced aromas of fresh black cherries  with touches of blueberries  kirsch and red flowers. A particularly silky palate of cherry liqueur  kirsch  vanilla oak and red currants  with chocolate  blueberry  and boysenberry cream. Enjoy with baby lamb chops with mint jelly  roasted and barbequed meats  sirloin steaks  elk and other game meats. ,Skalli S.a. B.P. 376 912 Route de Montpellier Sete 34 204 France,Rhone Rack,Row 3/bin 1
2005,Mancuso,Valdejalon,Grenache,Aragón,Spain,R,,,2030,,1,,750 mL,$85.00,The 2005 Mancuso was aged for 14 months in new French oak. It offers up a superb bouquet of toasty new oak  pencil lead  scorched earth  espresso  black cherry  and blackberry liqueur. Opulent  rich  and complex on the palate  this full-bodied wine has tons of flavor  nicely concealed ripe tannin  and a long  fruit-filled finish. Cellar it for 6-8 years and drink it from 2016 to 2030. The Mancuso project began in 2000 with the purchase of five parcels of old vine Garnacha in the obscure region of Valdejalon (between Calatayud  Carinena  and Rioja). , ,Wine Chest,Row 1/bin 4
2012,La Mer Vineyards,Carneros Red Wine,Merlot  cab  petit verdot,Napa,United States,R,,,2022,,3,,750 mL,$60,An absolutely gorgeous big and zesty red wine made from top Cabernet  Merlot and Petite Verdot vineyards. An inky purple hue. Perfumed aromatics of crème de cassis  toasty oak  mocha  berries and blackberry cream. Mouth watering  big and intense yet smooth with generous dark red fruit including black cherries  and black raspberries  with smoky toasty vanilla oak  caramel and violets. There are multiple layers of concentration  a silky mouth feel and a very pleasant finish. Will pair nicely with a wide range of meat dishes including Prime Rib  Sirloin steak  brisket sandwiches and even baby back ribs. Best enjoyed now through 2022., ,Wine Rack 4,Row 3/bin 2
2010,Fontanafredda,Langhe Nebbiolo,Nebbiolo,Piedmont,Italy,R,,,2018,,2,,750 mL,31.00,A big table wine...perfect with meat sauces  hard cheeses and pastas.,Palm Bay Imports  Inc. 343 Underhill Blvd. Syossett  NY 11791,Wine Rack 2,Row 2/bin 1
2007,Arger-Martucci Vineyards,Syrah,Syrah-Merlot,Napa,United States,R,,,2020,,1,,750 mL,$44.95,April 25  2016--Wow. Enjoyed with griloled pork chops. It was lovely. Big  well-structured  soft tannins and a lovely long finish. Only one bottle left -- sob!,  The Odyssey Vineyard is located right next to the famed Stagecoach Vineyard and has a similar stylized taste of other nice Syrahs made in this viticultural are like Krupp Brothers and Tallulah. Arger-Martucci is one of those top boutique Napa houses that only release their vintages when the wine is drinking optimally so this wine has only been released in the past year. 2007 is one of the top vintages in the last decade and it is getting quite rare to find these wines now as they got snapped up shortly after release. These Mountain vines from the Odyssey and Isabella Vineyards are low yielding and sit at an elevation of 1 250 and 1 350 feet. This wine spent 11 months in primarily new American oak. Only about 750 cases were produced. Penetrating aromas of crème de cassis  dark cherries  licorice and white pepper. The fruit is lush and full bodied with chocolate covered cherries  blackberries  mocha  and well integrated oak with touches of nutmeg and cinnamon. A smooth mouth feel  it has a long  pleasant finish. While drinking beautifully now  it certainly has many more years to go. Steaks or veal chops! 1455 Inglewood Avenue St. Helena  CA 94574,Wine Rack 3,Row 2/bin 5
2007,Rivetto,Barolo del Comune di Serralunga d'Alba,Nebbiolo,Piedmont,Italy,R,,,2026,,2,,750 mL,$74.99,#59 Top Cellar Selections 2011--Wine Enthusiast. Best after 2015.,WS: A vivacious Barolo  this is packed with sweet cherry  blackberry and raspberry fruit  augmented by leather and tobacco notes. Dense with tannins  leaving a sensation of raw silk around the gums  while the fruit and a mineral element play long on the finish. Best from 2014 through 2032. 900 cases made. WE: An up-and-coming star of Barolo Serralunga  Rivetto delivers a supersized wine with immense concentration and rock-solid structure. In fact  this wine needs another 10-15 years of aging to complete its long evolution. Already present  however  are tonic tones of red cherry  coffee  mocha  spice and cured meat. ,Wine Chest,Row 1/bin 4
2009,Domaine de Saint Paul,Chateauneuf du Pape Cuvee Jumille,GSM,Chateauneuf du Pape,France,R,,,2019,,2,,750 mL,$72.99,WS: Very ripe and enticing  with lots of juicy plum  blueberry and blackberry fruit held together with lightly grippy notes of bitter­sweet ganache and roasted apple wood. Long and lush through the finish  but stays well defined.  , ST:  Bright violet. A fragrant  high-pitched bouquet displays scents of fresh red and dark berries  spice cake  potpourri and white pepper. Rich but lively  showing sweet blackberry and cherry flavors and a subtle note of candied lavender. Firmer on the finish  which strongly repeats the floral note,Rhone Rack,Row 3/bin 3
2012,Blockheadia,Blockheadia Top of the Block RingnosII Pinot Noir,Pinot Noir,Sonoma Coast,United States,R,,,2017,,3,,750 mL,,JN: 2012 is a wonderful vintage made in a consumer-friendly style with accessible and generous lush fruit. This micro production Pinot has a ruby red hue. Fresh aromas of pleasant red fruit including wild strawberries and cherries with touches of blueberry and raspberry cream. This is an engaging Pinot Noir with pleasing flavors including raspberry  dark cherry  pomegranate  cranberry and cola  with white tea and cinnamon. Pair with Pork chops and apple sauce  grilled salmon  Long Island Duckling in a bing cherry sauce  and chicken dishes. Enjoy now and over the next several years.,Mildara Blass Inc 9600 Bell Road Windsor  CA 95492,Box in front of Pinot rack,
2011,Semaphore 7,2011 Reserva Vinho Regional Alentejano,,,Portugal,R,,,2016,,2,,750 mL,$18.00,Had our first bottle with Joan and Donn Feb. 8  2014 with a magnificent Portuguese seafood stew cooked by Joan. Wow! Planning for our trip to Portugal in May. A wonderful nose and lovely on the palate with dark red fruit  white pepper  spices  licorice. however  the finish was disappointingly short...climbed up to the midpalate and quickly faded. ,From the great 2011 vintage in the Douro ,Wine Rack 2,Row 2/bin 2
2010,Domaine du Grand Tinel,Chateauneuf du Pape,Grenache/Syrah/Morvedre,Chateauneuf du Pape,France,R,,,2025,,4,,750 mL,$66.00,RP: exhibits sexy kirsch liqueur notes intermixed with notions of roasted Provencal herbs  pepper  smoked meats and forest floor. It is a full-bodied  fat  fleshy Chateauneuf with a serious alcoholic punch. , IWR:  Brings lovely notes of raspberry  boysenberry  black cherry  damp forest floor  pine  fennel  pepper and wonderful underlying minerality. This sits on a medium frame and is supported by silky  fine-grained tannins. The pepper-tinged finish is soft  sleek and seductive. WS: Ripe  polished and accessible now  with a delicious core of plum  blackberry and boysenberry stitched with sweet spice  red licorice and toasted vanilla bean notes. The long finish lets the sweet fruit drip without being jammy  thanks to a graphite edge. ,Rhone Rack,Row 2/bin 3
2010,Casey Flat Ranch,CFR Estate Red Wine,Cab/Syrah/Cab Franc,Capay Valley,United States,R,,,2024,,3,,750 mL,$62.00,This wine is far superior to the 2009 vintage which received quite strong ratings. This picturesque Vineyard sits on a 2 000 ft. rocky mountain slope. The winery is located about 22 miles from Napa Valley’s St. Helena appellation. Owner Allison Morey believes this is their best vintage ever and is rightfully proud of this monumental wine. It is mainly Cabernet Sauvignon with Cabernet Franc and Syrah. A deep purple hue. A distinguished nose of black cherries  kirsch and red flowers with thyme and violets. A palate that is both big and elegant with satin textured fruit including blackberry  black raspberry  mocha  dark chocolate  sweet vanilla oak and spice. Plump with smooth tannins and a long  persistent finish. The wine is quite cellar worthy and will drink nicely over the next 12 years and should age with elegance. Only 1 116 cases produced. Tasted in September and October 2013 with consistent tasting notes. It should pair nicely with Beef Wellington  steak friites  and leg of lamb with mint jelly  veal medallions in a rich sauce  grilled meats or dark chocolate., ,Wine Rack 3,Row 2/bin 5
2010,La Celestiere,Chateauneuf-du-Pape Tradition,Gren/Syr/Mour/Cinsault,Chateauneuf-du-Pape,France,R,,,2025,,4,,750 mL,$46.75,RP-The 2010 Chateauneuf du Pape Tradition exhibits a classic Provencal nose of roasted herbs  kirsch liqueur  lavender  forest floor and balsam wood. It is an impressively built  concentrated  deep ruby/purple-colored effort that should drink well for 10-15 years. , ST: Bright purple. Aromas and flavors of black raspberry and blueberry with spice and floral notes adding complexity. Juicy and focused  with very good finishing clarity and lingering floral and spicecake nuances. Tannins came up with aeration but weren't a match for this wine's energetic fruit.,Rhone Rack,Row 2/bin 2
2009,Pocos,Simbolo Red (Douro),Touriga Nacional/Tina Roriz,Douro,Portugal,R,,,2018,,1,,750 mL,$25.00,The 2009 Simbolo is a blend of Touriga Nacional  Tinta Roriz  Touriga Franca and Tinta Barroca  aged in a combination of French and American oak for 18 months. Easily the pick of the litter in the releases reviewed this issue  this is remarkably gracious and beautifully balanced. As it airs out  it shows some grip and intensity  always subtle and restrained  while remaining quite persistent. , WE: A blend of grapes from Poças’s two estates  here is a firmly structured  ageworthy wine. It has power  certainly  but that power is restrained by tannins  acidity and a firm  dry center. There is spice from the wood aging  along with a touch of pepper from alcohol. Approachable now  it could use a little time to settle down. Drink 2013-2021. ,Wine Rack 2,Row 1/bin 1
2005,Rio Bom,Colheita Douro Red,Touriga Nacional/Franca,Douro,Portugal,R,,,2018,,1,,750 mL,$25.00,Bottled in June 2009  nearly four years after harvest  this is a limited production wine. It has great structure  tannin and beautiful ripe fruits. With a perfumed black-currant character  it is ready to drink now  but its tannins suggest aging potential.,We had this with Joan and Donn as we planned our trip to Portugal. Wonderful  especially the finish.  ,Wine Rack 1,Row 4/bin 1
2010,Dom. Jean Fery,Cote de Nuit-Villages Clos de Magny,Pinot Noir,Cote de Nuit,France,R,,,2018,,4,,750 mL,37.99, The outstanding 2010 vintage was a concentrated low yield vintage that will go down as one of the best in recent history. Winemaker Greg Patria has done a very nice job on this wine that has screaming good value. A dark red hue. Intense aromas of wild strawberries  black raspberries and dark plum. A full palate of primarily dark red fruit interwoven with blueberries including dark cherries  dark chocolate and licorice with dollops of red flowers  minerality and a spice box. Mouthwatering  and well structured  with nice complexity and good length. , ,Pinot/Burgundy Rack,Row 4/bin 2
2012,Belle Glos,Meiomi Pinot Noir,Pinot Noir,Monterey/S. Barbara/Sonoma,United States,R,,,2020,,1,,750 mL,39.95,, ,Josh's Pinot Rack,
2009,Clos Pegase,Mitsuko's Vineyard Pinot Noir,Pinot Noir,Carneros-Napa,United States,R,,,2019,,1,,750 ML,$35.00,JN-Pretty aromas of red and dark red fruit  including dark cherries  plum  pomegranate and chocolate. Nice depth of complexity and layered with suave fruit and a pleasing mouth feel. A nice sip of dark cherries  blueberries  pomegranate  and black raspberries with red flowers with a touch of a cinnamon spice.,Kiriko  Ltd. 1060 Dunaweal Lane P.O. Box 305 Calistoga  CA 94515,Josh's Pinot Rack,
2009,Catena,Malbec,Malbec,Mendoza,Argentina,R,,,2016,,1,,750 mL,18.99,,Winebow  Inc. 22 Hollywood Avenue  Suite C P.O. Box 250 Ho-Ho-Kus  NJ 07423,Wine Rack 3,Row 2/bin 3
2012,Belle Glos,Meiomi Pinot Noir,Pinot Noir,Monterey/S. Barbara/Sonoma,United States,R,,,2017,,4,,750 mL,$35.00,Deep  rich garnet color. The wine opens up with aromas of ripe berries  fresh cranberry  candy apple and malted vanilla  some of which carries through to the palate. There’s a hint of Granny Smith apple on first sip that beautifully balances out the rich cream soda and cherry cola notes. It is an extremely layered wine  both in structure and flavor  with a slight earthiness and sweet oak on the finish. The wine almost contradicts itself  managing to display freshness and maturity all at the same time  which is achieved through careful blending., ,Josh's Pinot Rack,
2009,Clos Pegase,Clos Pegase Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,2018,,1,,750 ML,$50.00,Shows saturated ruby purple color. It has intense  complex dark fruit notes of ripe black cherry  blackberry coulis and plum framed by dark chocolate  graphite  violets and a touch of sweet incense smoke, ,Wine Rack 4,Row 1/bin 3
2010,Havens Winery,Rutherford-Napa Cabernet Sauvignon,Cabernet Sauvignon,Rutherford/Napa Valley,United States,R,,,2020,,2,,750 mL,$58.00,JN: A very nice 100% Caberne. It spent over 18 months in French Oak  80% of which is new. A deep red hue with purple highlights. Elegant and pleasing aromas of dark cherries  mocha  red currants  licorice and dark chocolate. The palate is lush and layered with dark cherry  plum  espresso  toasty vanilla oak  kirsch  and beef jerky  with touches of pepper and nutmeg spice. Enjoy Now through 2020. As this wine has just been bottled in the winter of 2014  it is my recommendation that ideally it receives some bottle age,Smith Anderson Enterprises Inc. P.O. Box 5182 Huntington Park  CA 90255-9182,Wine rack 4,Row 1/bin 3
NV,Xavier Vignon,Chateauneuf-du-Pape Cuvee Anonyme La Reserve VII IX X,Syrah/grenache,Chateauneuf du Pape,France,R,,,2028,,10,,750 mL,$135.00,RP: a blend of the top barrels of the Cuvee Anonyme from 2007 (43%)  2009 (21%) and 2010 (36%)  deep purple/black  hedonistic and decadent with massive amounts of black raspberry  raspberry  spice cake  licorice and crushed flowers on the nose. Full bodied and textured on the palate with wonderful freshness and purity. Should easily last for 15+ years -- Oct. 2010. Garrique?,First collector purchase from WineAccess. We'll see. By Xavier Vignon. Wine Access believes it could be upgraded to 100.  ,Wine Chest,Row 1/bin 3
2010,Clos Pegase,Napa Valley Cabernet Franc,Cabernet Franc,Napa,United States,R,,,2020,,1,,750 mL,$40.00,Because of our very special relationship with Clos Pegase winery  we are able to make a very unique and yet small lot available to our members at a fraction of the regular cost in this special and extraordinary opportunity. This includes one bottle each of their 2009 and 2010 Syrah  and 1 bottle each of their 2009 and 2010 Cab Franc. The Syrah typically costs $40 a bottle at the winery and the Cab Franc sells for $35 a bottle. The Syrah is from the Mitsuko’s vineyard in Carneros and less than 500 cases in each vintage is produced. The Cab Franc is from the Dunaweal vineyard in Calistoga and the Mitsuko’s Vineyard in Carneros. About 650 cases are produced in each vintage. Only a small fraction of these wines are still even available. The winery loves the marketing benefits of reaching our who’s who list of the top wine lovers in the country! The very nice 2010 vintage is just released  and the 09 is certainly a great vintage. What a unique opportunity for the ultimate varietal/vertical pairing of these two amazing wines from 2 great vintages! This is one of Jan’s Shrem’s boutique micro-bottlings that he made as a special treat for his Wine Club members. It is made from his top Estate single vineyards in Calistoga.”Clos Pegase” is clearly one of Napa’s most famed properties and is named for an enclosed vineyard and the winged horse of Greek mythology. The winery was founded in 1983 and the spectacular architecture commissioned by Michael Graves was completed in 1987. Given the price  and the delicious taste profile  this is certainly quite an offering that we are confident our members will love!, ,Wine Rack 3,Row 3/bin 5
2009,Clos Pegase,Napa Valley Cabernet Franc,Cabernet Franc,Napa,United States,R,,,2020,,1,,750 mL,$40.00,Because of our very special relationship with Clos Pegase winery  we are able to make a very unique and yet small lot available to our members at a fraction of the regular cost in this special and extraordinary opportunity. This includes one bottle each of their 2009 and 2010 Syrah  and 1 bottle each of their 2009 and 2010 Cab Franc. The Syrah typically costs $40 a bottle at the winery and the Cab Franc sells for $35 a bottle. The Syrah is from the Mitsuko’s vineyard in Carneros and less than 500 cases in each vintage is produced. The Cab Franc is from the Dunaweal vineyard in Calistoga and the Mitsuko’s Vineyard in Carneros. About 650 cases are produced in each vintage. Only a small fraction of these wines are still even available. The winery loves the marketing benefits of reaching our who’s who list of the top wine lovers in the country! The very nice 2010 vintage is just released  and the 09 is certainly a great vintage. What a unique opportunity for the ultimate varietal/vertical pairing of these two amazing wines from 2 great vintages! This is one of Jan’s Shrem’s boutique micro-bottlings that he made as a special treat for his Wine Club members. It is made from his top Estate single vineyards in Calistoga.”Clos Pegase” is clearly one of Napa’s most famed properties and is named for an enclosed vineyard and the winged horse of Greek mythology. The winery was founded in 1983 and the spectacular architecture commissioned by Michael Graves was completed in 1987. Given the price  and the delicious taste profile  this is certainly quite an offering that we are confident our members will love!,Vertical tasting with the 2010? ,Wine Rack 3,Row 3/bin 5
2013,Domaine du Garde Temps,Tourbillon Rose,Cinsault/Gren/Mourv/Syrah,Provence,France,R,,,2014,,1,,750 mL,$25.00,The 2013 Tourbillon Rosé is a team effort from a pair of icons in the Rhône Valley; Michel Tardieu and Philippe Cambie. It delivers pretty aromas of freshly sliced white peaches and tangerine zest followed by crushed stones. This really impresses for its gorgeous texture  outstanding balance and seamless transition from start to finish. This is a flat-out gorgeous Rosé. Composed of 40% Cinsault  35% Grenache  15% Mourvèdre and 10% Syrah (Best 2014-2016), ,box,
2012,Chad,Cabernet Sauvignon Reserve Oakville,Cabernet Sauvignon,Napa-Oakville,United States,R,,,2028,,5,,750 mL,$$72.00,Wine Access: Black/purple to the rim with a great nose of black fruit. Infused with a fleshy bouquet of graphite  black raspberries  concentrated taste of black currants  creme de cassis; framed with a dose of fresh-wood cedar. , ,Wine Rack 3,Row 1/bin 2
2006,Giribaldi,Barbaresco,Barbaresco,Piedmont,Italy,R,,,2024,,2,,750 mL,,Attractive cherry  plum and tobacco aromas and flavors get support from dense tannins in this pretty yet well-toned red  which still needs time for the tannins to soften  but shows harmony and a lingering aftertaste of spice and mineral. Best from 2013 through 2024, ,Wine Rack 1,Row 2/bin 2
2011,Delaforce,Touriga Nacional,Touriga nacional,Douro,Portugal,R,,,2020,,4,,750 mL,$28.00,Effusively fruity  showing good cut to the lively raspberry  dark cherry and blackberry flavors  lush and pure. Offers caressing tannins  with vanilla and strawberry cream notes that linger on the finish. , ,Wine Rack 2,Row 1/bin 2
2012,King Estate Winery  Inc.,Acrobat Pinot Noir,Pinot Noir,Oregon-Willamette Valley,United States,R,,,2016,,1,,750 mL,$24.00,WS: The crisp tannins and sleek structure give the up-front blackberry  currant and floral spice flavors good lift  coming together smoothly on the persistent finish.,  Pinot Report: Medium ruby color; deep  spicy raspberry and cherry aromas; rich  ripe cherry and earthy flavors with some spice notes; silky texture; good structure and balance; long finish. Bright  rich Pinot with great flavor—perfect all-purpose wine.,,
2011,Chateau Kefraya,Les Breteches,,Bekaa Valley,Lebanon,R,,,,,1,,750 mL,$20.00,A blend of CINSAULT (66%)  TEMPRANILLO (15%)  SYRAH(10.5%)  CABERNET SAUVIGNON (6%) and CARIGNAN (2.5%). On the nose-over the top strawberry jam  black cherry compote  and wild flowers exploding  POWERFUL  one of the best under $15 noses I have witnessed. New world with earthy tones  a great mouth feel  impressive  full bodied and rich. Great job Lebanon., ,Rhone Rack,Row 1/bin 1
2011,Domaine de Ferrand,Chateauneuf du Pape,Grenache/Syrah 90-10,Chateauneuf-du-Pape,France,R,,,2021,,2,,750 mL,$53.95, ST: 93. Inky ruby. Dark berries  cherry pit  lavender and peppery spices on the fragrant nose. The palate offers appealingly sweet black raspberry and cherry compote flavors braced by juicy acidity and a hint of white pepper. Clean and focused on the youthfully tannic  strikingly long and urgent finish. (1/2014), ,Rhone Rack,Row 4/bin 2
2013,Blockheadia,Top of the Block Pinot Noir,Pinot Noir,Sonoma Valley,United States,R,,,,,1,,750 mL,#32.00,,Mildara Blass Inc 9600 Bell Road Windsor  CA 95492,Josh rack,
2011,La Tiare Imperiale,Chateauneuf du Pape,Grenache-Syrah,Chateauneuf du Pape,France,R,,,2021,,4,,750 mL,$68.00,2011 is a unique vintage as the wines are more accessible early with generous up front fruit that is elegant and charming...nice aging potential but is also approachable and enjoyable in its youth. It is a blend of all the regional grape varietals including Grenache  Syrah  Cinsault and Mourvedre. Nuanced and perfumed aromatics of red and black fruits including dark raspberries  blueberry and packed berries with touches of lavender. A suave palate of dark red fruit  florals and spice with kirsch  black cherries  tobacco  incense  toasty vanilla and currants  with touches of dark chocolate  blueberry  and white pepper. Lush and food friendly with round tannins. Pair with Filet Mignon  Black Truffle Risotto  Yankee Pot Roast  Veal Parmesan and game dishes.,Skalli S.a. B.P. 376 912 Route de Montpellier Sete 34 204 France,Rhone Rack,Row 3/bin 2
2012,Titus Wines,Andronicus Red Blend,Cab/Mer/PV/Cab Franc,Napa,United States,R,,,2022,,2,,750 mL,$70.00,From the great '12 Napa vintage. Almost black  aromas of blackberry and black cherry  laced with violets  tobacco and cedar. ,Michtron 576 South Telegraph Pontiac  MI 48053,Wine Rack 3,Row 1/bin 3
2012,Foris Vineyards,Pinot Noir Maple Ranch,Pinot Noir,Willamette Valley,United States,R,,,2020,,8,,750 mL,$52.00,Ruby/black color  great aroms of black raspberry and cherry with sweet spice and a shot of chocolate. Good tannins help toward a long and penetrating finish. , ,Josh's Pinot Rack,
2013,Chad Wines,Anderson Valley Pinot Noir,Pinot Noir,Anderson Valley   Calif.,United States,R,,,2022,,6,,750 mL,$42,Very dark...infused with plush  sexy aromas of black raspberry preserves  dark cherry  sweet spice. Rich and concentrated.  Not hot despite alcohol that flirts with 14 percent. Long finish. From the greatest pinot vintage since the mid-1990s.,Petit Pois Corp. 109 Forrest Avenue Second Floor  Rear Narberth  PA 19072,Pinot/Burgundy Rack,Row 3/bin 1
2010,Chante Cigale,Chateauneuf-du-Pape,GSM w/Cinsault,Chateauneuf-du-Pape,France,R,,,2034,,7,,750 mL,$49.00,RP: Grenache (65%)  Syrah (20%) and the rest Mourvedre with Cinsault from 50-year-old vines were aged in a combination of concrete tanks  old wood foudres and small old barrels. Shows notes of charcuterie  roasted meats  garrigue  kirsch and black currants along with a full-bodied  seriously endowed  super-concentrated mouthfeel that builds dramatically in the mouth. Remarkable density and richness with the ability to age 20 years. , ,Rhone Rack,Row 1/bin 1
2011,Quinta do Crasto,Douro Valley Reserva ,Touriga Nacional/Franca,Douro,Portugal,R,,,2025,,7,,750 ML,$67.00 ,Quinta do Crasto Reserva Old Vines shows a complex aroma  with the fruit and the oak very well integrated and revealing spicy nuances. Intense and deep on the palate. The firm tannic structure gives great balance to the wine  with a long and lingering finish. , This wine pairs very well with rich red meat or game dishes. Critical Acclaim RP94 The Wine Advocate - "The 2011 Reserva Old Vines (around 70 years of age on average) spent 18 months in 65% new and 35% used barriques (85% French  the rest American). The used barriques were previously new on the 2010 Reserva Old Vines. About the only bad thing you can say about this is that it is too marked by oak in its youth  but that is always true when it is young. That will become much better in time. Some cellaring will provide additional complexity as well  but it is otherwise quite approachable now even if not showing us all that it has to give. For my money  this is easily on the short list as a contender for “Best Reserva Old Vines” ever  because of its combination of concentration  lift  structure and superb balance. This is not the wine in the lineup that will always make you go “wow.” There is not a hint of bombast. However  it does everything beautifully  and balance is its hallmark. Even as it tightens with air  it proves how harmonious it is  showing off its finesse  crispness and focus. The fruit always seems fresh and lively here  never ponderous. The next day it hardly seemed changed. This should age pretty nicely. If all that is not enough  it is pretty tasty  too  a wine that will be hard to dislike on all fronts. Considering the price point  this is a "can’t miss" buy. There were 93 000 bottles produced. "  WE94 Wine Enthusiast - "A dark and powerfully rich wine from one of the top quintas in the Douro. It shows great concentration from the old vines. With its weight  dark fruits and dense tannins  it needs to age in order to bring out the solid wood and black  brooding character of the wine. Don’t drink before 2017.Cellar Selection"   DO NOT DRINK BEFORE 2017 -- DECANT!!!,Wine Rack 2,Row 2/bin 2
2004,Quinta do Vale Meao,Douro Red,Touriga nacional/franca/roriz,Douro,Portugal,R,,,2020,,1,,750 mL,$85.00,,W. J. Deutsch & Sons Ltd. 108 Corporate Park Drive White Plains  NY 10604,Wine Rack 2,Row 2/bin 2
2011,Quinta do Vale Meao,Douro,Touriga Nacional/Franca,Douro,Portugal,R,,,,,2,,750 mL,$84.00,No. 4 in Wine Spectator's Top 100 for 2014. From the magnificent 2011 Douro vintage rated 97 by Spectator and matt Kramer. , ,Wine Chest,Row 3/bin 2
2010,Cascina Adelaide Di Amabile Drocco,Cannubi Barolo,Nebbiolo,Piedmont,Italy,R,,,2028,,2,,750 mL,$110,James Suckling: Fabulous aromas of white truffles  berries and earth. Tar. Full body  with juicy fruit and a pretty finish. Intense wine. A typical Cannubi with finesse  structure and beauty. Better in 2016., Wine Enthusiast: A mélange of scents including crushed flowers  leather  forest floor and balsamic notes emerge. On the palate  red cherry-berry  prune  cinnamon  toast and espresso all weave together. It has great focus and energy but is still tightly knit. Drink 2018–2038. Wine Spectator: The discreet oak adds a hint of spice to the plum  cherry  leather and tea flavors. A vein of mineral emerges as this cruises to a lingering aftertaste of tobacco and spice. Best from 2017 through 2032. 300 cases made. Wine Advocate: Drink: 2016 - 2025 Composed of sweet berry fruit and floral tones that are embellished with heavier layers of toasted oak and hazelnut. The wine shows budding complexity and needs a few more years to find balance. The Cannubi cru often shapes Nebbiolo with a large floral component including red rose and dried lavender. You definitely get a sense of that in the refined 2010 vintage. Soft tannins and sour cherry flavors characterize the finish. This estate shows particular confidence when it comes to the copious use of French oak. ,Wine Rack 1,Top Row
2013,Belle Glos Wines,The Dairyman Pinot Noir,Pinot Noir,Russian River Valley-Sonoma,United States,R,,,2023,,2,,750 mL,$57.50,Exhibits a rich array of flavor and personality. Spicy  toasty anise and black licorice notes join cedary oak details  lending this a distinctive edge  with the blackberry and raspberry elements slow to move to the forefront. Ends with a persistent finish. Drink now through 2023,  P.O. Box 35 Rutherford  CA 94573,Josh's Pinot Rack,
